SchoolItem,relation,NewNode
精神,subclass of,abstract being
精神,subclass of,supernatural being
研究生,subclass of,教育
精神,subclass of,神话人物
本科,described by source,Ottův slovník naučný
段,instance of,汉姓
身份证,subclass of,identity document
地点,instance of,物理性质
湖北省,instance of,中国省份
结构,subclass of,实体
精神,topic's main category,Category:Spirits
本科,said to be the same as,Norwegian PhD
段,instance of,姓氏
身份证,subclass of,personal data
地点,subclass of,地理实体
湖北省,country,中华人民共和国
结构,has quality,spatial arrangement
精神,described by source,亚美尼亚苏维埃百科全书
武汉市,instance of,副省级市
政策,instance of,维基媒体消歧义页
世界,instance of,概念
成果,instance of,人类
照片,subclass of,视觉艺术
家,instance of,单曲
全文,instance of,人类
时间,instance of,实体
本科,said to be the same as,Danish PhD
段,writing system,汉字
身份证,use,identification
地点,part of,空间
结构,topic's main category,Category:结构
武汉市,instance of,大城市
政策,subclass of,原理
世界,subclass of,客体
成果,sex or gender,女
照片,fabrication method,摄影
家,part of,光灵
全文,sex or gender,女
时间,subclass of,序列
本科,said to be the same as,magister degree
段,topic's main category,Category:段姓
身份证,topic's main template,Template:Infobox Identity document
地点,part of,地球表面
湖北省,located in the administrative territorial entity,中华人民共和国
结构,described by source,亚美尼亚苏维埃百科全书
cn,instance of,king in Greek mythology
邮编,subclass of,administrative territorial entity identifier
大学,instance of,文学作品
软件,instance of,经济部门
语言,instance of,拟言类别
等级,instance of,元类
知识,instance of,哲学概念
武汉市,instance of,百万人口城市
政策,subclass of,创意作品
世界,topic's main Wikimedia portal,频道:国际
照片,topic's main template,Template:Infobox photography
家,genre,嘻哈音乐
全文,country of citizenship,唐朝
时间,part of,时空
段,described by source,百家姓
身份证,topic's main category,Category:身份证明
地点,uses,坐标系
湖北省,highest point,Shennong Peak
cn,instance of,可能虚构人物
邮编,subclass of,nominal number
大学,part of,礼记
语言,instance of,语言类别
知识,instance of,心智状态
政策,topic's main category,Category:政策
世界,topic's main category,Category:世界
照片,topic's main category,Category:摄影作品
家,performer,机关枪凯利
全文,family name,郑
时间,studied by,时间和空间的哲学
段,different from,端村
地点,different from,地理位置
湖北省,head of government,李鸿忠
US,instance of,星群
否,instance of,助词
人文,instance of,维基媒体消歧义页
必修课,subclass of,课程
公式,subclass of,数学符号
sys,instance of,基因
GRE,instance of,考试
cn,sex or gender,男
大学,genre,哲学
软件,subclass of,创意作品
语言,subclass of,拟言体
等级,part of,本体
知识,subclass of,记忆
武汉市,country,中华人民共和国
政策,different from,政治
世界,said to be the same as,地球
家,record label,大西洋唱片
全文,father,郑绅
时间,studied by,广义相对论
段,different from,Duan
地点,different from,地理地区
湖北省,language used,标准汉语
US,instance of,OB星协
能力,part of,教育学
否,opposite of,是
必修课,opposite of,elective course
公式,subclass of,表示式
sys,subclass of,蛋白质编码基因
GRE,country,美国
cn,father,波塞冬
邮编,topic's main category,Category:Postal codes
大学,has edition,A Grande Doutrina
软件,subclass of,产品
语言,subclass of,language
等级,part of,本体语言
知识,subclass of,conviction
全文,spouse,卢嘏
时间,topic's main template,Template:时间
段,said to be the same as,Doan
地点,on focus list of Wikimedia project,Wikipedia:基础条目
湖北省,language used,官话
李兵,instance of,人类
的,instance of,German preposition
学校,subclass of,教育机构
成员,subclass of,法律主体
环境,instance of,维基媒体消歧义页
数据,instance of,抽象客体
水平,instance of,维基媒体消歧义页
英语,instance of,自然语言
US,part of,天蝎-半人马星协
能力,part of,心理学
否,said to be the same as,no
公式,topic's main category,Category:数学公式
sys,found in taxon,小家鼠
cn,father,Butes
大学,has edition,The Great Learning (Legge)
软件,subclass of,书面作品
语言,subclass of,传播媒体
等级,part of,分类法
知识,studied by,知识论
时间,topic's main category,Category:时间
湖北省,language used,湘语
李兵,sex or gender,女
的,instance of,贵族姓氏助词
学校,topic's main template,Template:Infobox school
成员,part of,membership organization
数据,subclass of,资讯
水平,different from,horizontal plane
英语,instance of,现代语言
US,constellation,天蝎座
公式,described by source,Ottův slovník naučný
sys,encodes,Fibronectin type III domain containing 3A
cn,mother,阿佛洛狄忒
大学,author,孔子
软件,part of,电子计算机
语言,part of,通信
等级,has cause,分类
知识,has cause,学习
武汉市,located in the administrative territorial entity,中华人民共和国
时间,described by source,Ottův slovník naučný
湖北省,language used,赣语
学科,instance of,一级元类
平台,instance of,维基媒体消歧义页
材料,subclass of,产品
线,instance of,维基媒体消歧义页
距离,subclass of,标量
模式,subclass of,规律性
管理科学,instance of,活动
李兵,country of citizenship,中华人民共和国
的,instance of,family name affix
学校,topic's main template,模板:学校
成员,has quality,membership
数据,part of,data base
水平,different from,horizontal direction
US,epoch,J2000.0
公式,different from,Formula
sys,chromosome,mouse chromosome 14
大学,author,曾参
软件,location,硬件
语言,part of,拟言体
知识,opposite of,无知
武汉市,located in or next to body of water,长江
时间,described by source,布罗克豪斯-艾佛隆百科词典
湖北省,language used,Western Xiangxi language
学科,subclass of,专业领域
平台,subclass of,建筑物
材料,subclass of,ordinary matter
距离,subclass of,observable entity
模式,has cause,arrangement
管理科学,instance of,维基媒体重复页面
李兵,family name,李
的,part of,贵族等级
学校,topic's main category,Category:学校
成员,different from,member
数据,field of work,资料庋用
英语,subclass of,Anglic languages
sys,strand orientation,reverse strand
大学,language of work or name,文言文
软件,distribution format,硬件
语言,part of,language group
等级,different from,纲
知识,used by,知识管理
武汉市,head of government,周先旺
时间,different from,持续时间
湖北省,language used,北部土家语
条件,instance of,维基媒体消歧义页
院长,instance of,职位
兴趣,subclass of,人类活动
武,instance of,男性人名
数,subclass of,量
文件,sex or gender,男
学科,has list,学科列表
平台,described by source,Ottův slovník naučný
材料,studied by,材料科学
距离,subclass of,度量
模式,topic's main category,Category:模式
李兵,place of birth,哈尔滨市
的,part of,姓氏
学校,described by source,Ottův slovník naučný
成员,different from,Lid
数据,topic's main category,Category:资料
英语,part of,Anglic languages
sys,ortholog,FNDC3A
大学,copyright status,公有领域
软件,has list,list of softwares
语言,studied by,语言学
等级,said to be the same as,维基数据类
知识,topic's main category,Category:知识
武汉市,contains administrative territorial entity,江岸区
时间,on focus list of Wikimedia project,Wikipedia:基础条目
湖北省,language used,Eastern Xiangxi language
教育部,instance of,美国联邦行政部门
兴趣,has list,list of hobbies
武,language of work or name,日语
数,subclass of,量值
学科,topic's main category,Category:学科
材料,has quality,强度
距离,part of,几何学
模式,different from,pattern
管理科学,subclass of,控制
李兵,occupation,手球运动员
的,language of work or name,德语
学校,has part,小孩子学生
英语,part of,盎格鲁-弗里西语组
sys,ortholog,Fndc3a
软件,opposite of,硬件
语言,has list,语言列表
知识,described by source,天主教百科全书
武汉市,contains administrative territorial entity,江汉区
学院,subclass of,学术机构
类,subclass of,数学对象
理论,subclass of,概念
通知,instance of,学术论文
比重,subclass of,测量仪器
工作日,instance of,日报
教育部,founded by,吉米·卡特
兴趣,topic's main category,Category:嗜好
武,writing system,拉丁文字
数,subclass of,数学对象
学科,said to be the same as,科学分支
材料,has quality,抗压强度
距离,has quality,长度单位
管理科学,subclass of,调控
李兵,sport,手球
的,writing system,拉丁文字
学校,has part,教师
英语,named after,英格兰
sys,ortholog,mtgo
软件,topic's main Wikimedia portal,Portal:软件
语言,topic's main Wikimedia portal,Portal:语言
知识,described by source,Ottův slovník naučný
武汉市,contains administrative territorial entity,硚口区
外语,opposite of,母语
学院,subclass of,学会
理论,opposite of,实践
通知,language of work or name,汉语
比重,subclass of,实验室设备
工作日,country of origin,南非
教育部,office held by head of the organization,美国教育部长
武,family name identical to this given name,长
数,part of,数系
学科,said to be the same as,field of study
材料,has quality,密度
距离,has quality,直线
管理科学,subclass of,coordination
李兵,participant of,2008年夏季奥林匹克运动会
的,different from,Von
学校,has part,学校科目
英语,country,美属萨摩亚
软件,topic's main template,Template:Infobox software
语言,topic's main template,Template:Infobox language
知识,partially coincident with,理解
武汉市,contains administrative territorial entity,汉阳区
湖北省,contains administrative territorial entity,黄石市
学院,subclass of,高等教育机构
类,studied by,集合论
理论,topic's main category,Category:理论
通知,published in,自然辩证法研究
比重,subclass of,实验室玻璃器皿
教育部,chairperson,约翰·金恩
数,topic's main category,Category:数
学科,said to be the same as,专业领域
材料,has quality,硬度
距离,measured by,米
管理科学,part of,企业经济学
李兵,participant of,2004年夏季奥林匹克运动会
的,said to be the same as,degli
学校,has part,学校图书馆
英语,country,安圭拉
软件,topic's main category,Category:软件
语言,topic's main template,Template:Distribution of languages in the world
知识,partially coincident with,经验
